,kickoff_time,kickoff_time_formatted,name,opponent_name,team_name,opponent_nextweek,predicted,actual
38511,2018-01-02T19:45:00Z,02 Jan 19:45,Craig_Dawson,West Ham,West Brom,Brighton,0.14253485,14.0
34410,2018-01-13T15:00:00Z,13 Jan 15:00,Grzegorz_Krychowiak,Brighton,West Brom,Everton,0.82574606,6.0
31341,2017-09-24T15:00:00Z,24 Sep 16:00,Robert_Elliot,Brighton,Newcastle,Liverpool,0.056868047,2.0
11192,2017-04-08T14:00:00Z,08 Apr 15:00,Stephen_Ireland,Liverpool,Stoke,Hull,0.14037275,0.0
16998,2016-08-20T14:00:00Z,20 Aug 15:00,Chris_Long,Liverpool,Burnley,Chelsea,0.309965,0.0
9411,2016-10-02T15:30:00Z,02 Oct 16:30,Danny_Welbeck,Burnley,Arsenal,Swansea,0.31008092,0.0
17537,2017-02-11T15:00:00Z,11 Feb 15:00,Isaac_Success,Man United,Watford,West Ham,0.087332875,1.0
36536,2018-02-10T15:00:00Z,10 Feb 15:00,Seamus_Coleman,Crystal Palace,Everton,Watford,1.2783601,0.0
8540,2017-04-05T19:00:00Z,05 Apr 20:00,Pablo_Maffeo,Chelsea,Man City,Hull,0.055045903,0.0
34736,2017-12-02T15:00:00Z,02 Dec 15:00,Jonathan_Leko,Crystal Palace,West Brom,Swansea,0.08780187,0.0
10899,2016-10-01T11:30:00Z,01 Oct 12:30,Oluwaseyi_Ojo,Swansea,Liverpool,Man United,0.061943173,0.0
11309,2016-12-31T17:30:00Z,31 Dec 17:30,James_Milner,Man City,Liverpool,Sunderland,0.41572917,0.0
6845,2017-01-21T15:00:00Z,21 Jan 15:00,Lee_Grant,Man United,Stoke,Everton,0.024067909,4.0
43577,2018-01-13T15:00:00Z,13 Jan 15:00,Heurelho_Gomes,Southampton,Watford,Leicester,1.528224,0.0
25857,2018-02-03T15:00:00Z,03 Feb 15:00,Adrien Sebastian_Perruchet Silva,Swansea,Leicester,Man City,3.9411907,1.0
30731,2017-11-04T17:30:00Z,04 Nov 17:30,Philippe_Coutinho,West Ham,Liverpool,Southampton,2.0904055,13.0
5801,2016-09-17T14:00:00Z,17 Sep 15:00,Dieumerci_Mbokani,Arsenal,Hull,Liverpool,0.12822577,0.0
1028,2017-01-02T15:00:00Z,02 Jan 15:00,Brendan_Galloway,Hull,West Brom,Tottenham,1.8325273,0.0
31496,2018-04-28T16:30:00Z,28 Apr 17:30,Jeremie_Boga,Swansea,Chelsea,Liverpool,2.877676,0.0
2816,2017-01-01T16:00:00Z,01 Jan 16:00,James_Tomkins,Arsenal,Crystal Palace,Swansea,0.7661763,0.0
35294,2018-02-25T14:05:00Z,25 Feb 14:05,Eden_Hazard,Man United,Chelsea,Man City,3.984994,2.0
29560,2018-03-10T15:00:00Z,10 Mar 15:00,Daniel_Amartey,West Brom,Leicester,Arsenal,2.8840153,0.0
4041,2016-10-22T14:00:00Z,22 Oct 15:00,Leonardo_Ulloa,Crystal Palace,Leicester,Tottenham,2.4392037,1.0
9342,2016-10-29T14:00:00Z,29 Oct 15:00,Willy_Caballero,West Brom,Man City,Middlesbrough,5.5869455,0.0
33228,2018-02-10T12:30:00Z,10 Feb 12:30,Gabriel Armando_de Abreu,Tottenham,Arsenal,Man City,-0.026244998,0.0
42227,2017-12-30T15:00:00Z,30 Dec 15:00,Charlie_Taylor,Huddersfield,Burnley,Liverpool,2.1737266,1.0
32445,2018-04-19T18:45:00Z,19 Apr 19:45,Diego_Da Silva Costa,Burnley,Chelsea,Tottenham,0.6179893,0.0
32628,2017-11-05T16:30:00Z,05 Nov 16:30,Fikayo_Tomori,Man United,Chelsea,West Brom,0.051321983,0.0
39025,2017-11-18T15:00:00Z,18 Nov 15:00,Phil_Foden,Leicester,Man City,Huddersfield,4.257508,0.0
