first_name,second_name,actual,predicted,element_type,diff
Victor,LindelÃ¶f,25,24.998306,2,0.0016937255859375
Juan,Mata,24,23.96647,3,0.03352928161621094
Marouane,Fellaini,24,23.994507,3,0.0054931640625
Ashley,Young,19,19.013353,3,0.013353347778320312
Ander,Herrera,23,22.998203,3,0.001796722412109375
Jesse,Lingard,21,21.153399,3,0.1533985137939453
Anthony,Martial,69,70.05608,3,1.0560836791992188
Paul,Pogba,51,50.716534,3,0.2834663391113281
Scott,McTominay,7,7.0025716,3,0.002571582794189453
Marcus,Rashford,32,31.969616,4,0.030384063720703125
Romelu,Lukaku,54,53.706062,4,0.29393768310546875
Andreas,Pereira,3,3.0024683,3,0.0024683475494384766
Robert Kenedy,Nunes do Nascimento,36,35.95967,3,0.0403289794921875
Robert,Elliot,0,0.025534838,1,0.025534838438034058
Karl,Darlow,0,0.010249257,1,0.01024925708770752
DeAndre,Yedlin,38,37.966938,2,0.033061981201171875
Ciaran,Clark,28,28.101692,2,0.10169219970703125
Jamaal,Lascelles,33,33.12134,2,0.12134170532226562
Paul,Dummett,32,31.993362,2,0.0066375732421875
Florian,Lejeune,0,0.020929962,2,0.020929962396621704
Matt,Ritchie,30,29.95586,3,0.044139862060546875
Jonjo,Shelvey,22,21.973692,3,0.026308059692382812
Mohamed,DiamÃ©,31,31.018717,3,0.018716812133789062
Christian,Atsu,9,8.999334,3,0.0006656646728515625
Dwight,Gayle,0,0.029412061,4,0.029412060976028442
Ayoze,PÃ©rez,37,37.029255,4,0.029254913330078125
Aleksandar,Mitrovic,71,70.95605,4,0.04395294189453125
Javier,Manquillo,5,5.006332,2,0.006331920623779297
Jacob,Murphy,14,13.996761,3,0.003238677978515625
Jose Luis,Mato SanmartÃ­n,25,25.022076,4,0.022075653076171875
Chancel,Mbemba,0,0.07198331,2,0.07198330760002136
Mikel,Merino,0,0.0138500035,3,0.013850003480911255
Isaac,Hayden,2,2.007969,3,0.007968902587890625
Martin,Dubravka,54,53.974323,1,0.025676727294921875
Alex,McCarthy,50,50.024883,1,0.024883270263671875
Fraser,Forster,0,0.020661086,1,0.020661085844039917
Ryan,Bertrand,33,32.907505,2,0.09249496459960938
Maya,Yoshida,6,6.021804,2,0.021803855895996094
Matt,Targett,6,6.00228,2,0.0022802352905273438
CÃ©dric,Soares,44,44.430035,2,0.4300346374511719
Jack,Stephens,20,20.021315,2,0.021314620971679688
Sam,McQueen,0,0.010249257,2,0.01024925708770752
Jan,Bednarek,2,2.0038505,2,0.0038504600524902344
Steven,Davis,9,9.018426,3,0.018425941467285156
