yellow_cards,goals_conceded,saves,influence,goals_scored,id,first_name,own_goals,creativity,end_cost,ict_index,season,total_points,penalties_missed,start_cost,element_code,bonus,season_name,clean_sheets,assists,ea_index,penalties_saved,minutes,bps,element_type,threat,team,red_cards,second_name
0,1,0,0.0,0,37,Dan,0,0.0,43,0.0,5,1,0,45,40387,0,2010/11,0,0,0,0,1,0,3,0.0,91,0,Gosling
1,6,0,0.0,1,37,Dan,0,0.0,48,0.0,6,14,0,50,40387,0,2011/12,0,0,52,0,247,0,3,0.0,91,1,Gosling
0,1,0,0.0,0,37,Dan,0,0.0,46,0.0,7,3,0,50,40387,0,2012/13,0,0,2,0,44,0,3,0.0,91,0,Gosling
1,9,0,0.0,0,37,Dan,0,0.0,43,0.0,8,11,0,45,40387,0,2013/14,0,0,11,0,361,16,3,0.0,91,0,Gosling
6,46,0,0.0,3,37,Dan,0,0.0,44,0.0,10,86,0,45,40387,6,2015/16,5,2,331,0,2446,405,3,0.0,91,0,Gosling
6,24,0,254.0,2,37,Dan,0,181.7,47,60.5,11,49,0,50,40387,2,2016/17,4,0,0,0,1366,254,3,168.0,91,0,Gosling
8,41,0,396.4,2,37,Dan,0,262.2,48,93.3,12,59,0,50,40387,4,2017/18,1,1,0,0,1941,254,3,274.0,91,0,Gosling
0,0,0,0.0,0,38,Jordon,0,0.0,45,0.0,7,6,0,45,103912,0,2012/13,1,1,18,0,63,0,3,0.0,91,0,Ibe
0,0,0,0.0,0,38,Jordon,0,0.0,39,0.0,8,1,0,45,103912,0,2013/14,0,0,-1,0,15,1,3,0.0,91,0,Ibe
0,7,0,0.0,0,38,Jordon,0,0.0,43,0.0,9,21,0,45,103912,0,2014/15,3,0,92,0,617,78,3,0.0,91,0,Ibe
0,24,0,0.0,1,38,Jordon,0,0.0,44,0.0,10,61,0,50,103912,4,2015/16,5,3,184,0,1177,223,3,0.0,91,0,Ibe
0,22,0,113.0,0,38,Jordon,0,268.3,49,61.5,11,36,0,55,103912,0,2016/17,3,0,0,0,1055,133,3,235.0,91,0,Ibe
1,33,0,362.0,2,38,Jordon,0,602.7,46,157.3,12,85,0,50,103912,5,2017/18,4,6,0,0,1988,289,3,610.0,91,0,Ibe
1,7,0,100.8,0,39,Lewis,0,89.8,42,21.8,11,17,0,45,155408,1,2016/17,1,2,0,0,432,81,3,28.0,91,0,Cook
5,42,0,456.4,0,39,Lewis,0,423.3,43,100.7,12,58,0,45,155408,0,2017/18,3,2,0,0,2234,337,3,126.0,91,0,Cook
3,32,0,338.4,3,40,Ryan,0,536.5,46,120.7,11,100,0,50,90105,8,2016/17,7,9,0,0,1764,345,3,332.0,91,0,Fraser
0,38,0,492.8,5,40,Ryan,0,646.6,51,155.0,12,97,0,55,90105,13,2017/18,2,3,0,0,2003,390,3,413.0,91,0,Fraser
0,0,0,0.0,0,41,Emerson,0,0.0,44,0.0,11,0,0,45,122342,0,2016/17,0,0,0,0,0,0,3,0.0,91,0,Hyndman
0,1,0,5.0,0,41,Emerson,0,12.5,45,1.8,12,1,0,45,122342,0,2017/18,0,0,0,0,58,6,3,0.0,91,0,Hyndman
0,15,0,0.0,5,43,Callum,0,0.0,53,0.0,10,46,0,55,75115,5,2015/16,1,0,165,0,771,161,4,0.0,91,0,Wilson
0,25,0,229.0,6,43,Callum,0,125.7,60,82.2,11,63,0,65,75115,2,2016/17,6,1,0,0,1361,170,4,487.0,91,0,Wilson
0,33,0,392.2,8,43,Callum,0,288.4,56,147.5,12,102,0,60,75115,13,2017/18,6,2,0,0,1981,282,4,799.0,91,0,Wilson
0,4,0,27.8,0,44,Lys,1,39.6,51,16.1,11,14,0,55,178304,0,2016/17,1,1,0,0,270,22,4,109.0,91,0,Mousset
